Country,ShortName,Continent,Latitude,Longitude,SumVisits2011Q1,SumVisits2011Q2,SumVisits2011Q3,SumVisits2011Q4,SumVisits2012Q1,SumVisits2012Q2,SumVisits2012Q3,SumVisits2012Q4,SumVisits2013Q1,SumVisits2013Q2,SumVisits2013Q3,SumVisits2013Q4,SumVisits2014Q1,SumVisits2014Q2,SumVisits2014Q3,SumVisits2014Q4,SumVisits2015Q1,SumVisits2015Q2,SumVisits2015Q3,SumVisits2015Q4,SumVisits2016Q1,SumVisits2016Q2,SumVisits2016Q3,SumVisits2016Q4,SumVisits2017Q1,SumVisits2017Q2,SumVisits2017Q3,SumVisits2017Q4,SumVisits2018Q1,SumVisits2018Q2,SumVisits2018Q3,SumSpend2011Q1,SumSpend2011Q2,SumSpend2011Q3,SumSpend2011Q4,SumSpend2012Q1,SumSpend2012Q2,SumSpend2012Q3,SumSpend2012Q4,SumSpend2013Q1,SumSpend2013Q2,SumSpend2013Q3,SumSpend2013Q4,SumSpend2014Q1,SumSpend2014Q2,SumSpend2014Q3,SumSpend2014Q4,SumSpend2015Q1,SumSpend2015Q2,SumSpend2015Q3,SumSpend2015Q4,SumSpend2016Q1,SumSpend2016Q2,SumSpend2016Q3,SumSpend2016Q4,SumSpend2017Q1,SumSpend2017Q2,SumSpend2017Q3,SumSpend2017Q4,SumSpend2018Q1,SumSpend2018Q2,SumSpend2018Q3
Argentina,AR,SA,-38.416097,-63.616672,2.480,17.125,15.314,5.086,14.309,12.683,15.150,7.235,10.406,19.879,15.352,7.707,8.757,25.861,18.249,10.319,17.051,16.795,28.192,12.301,8.310,14.868,19.920,17.468,16.735,16.007,16.251,12.160,22.712,22.273,29.781,1.224,8.360,10.380,1.793,8.998,10.463,35.941,11.451,9.366,12.994,6.261,5.232,4.306,14.527,13.093,8.017,9.638,9.342,22.678,13.449,6.409,6.280,15.229,11.571,12.666,12.858,9.553,9.949,15.737,18.878,70.572
Australia,AU,OC,-25.274398,133.775136,74.646,101.605,214.306,97.368,67.312,103.857,144.868,111.284,66.752,134.256,205.948,95.944,65.459,111.641,184.167,82.572,66.514,99.383,188.770,107.024,62.909,108.655,190.931,80.742,85.333,135.088,188.445,89.456,82.257,108.605,180.645,67.663,92.332,143.659,92.834,53.452,87.546,136.655,88.628,49.788,133.894,149.761,82.085,69.833,109.459,151.933,93.062,53.614,99.887,143.879,116.163,81.893,104.853,123.372,63.905,75.252,113.737,149.853,107.238,63.725,133.856,123.852
Austria,AT,EU,47.516231,14.550072,35.126,40.433,47.701,36.772,30.697,39.961,32.262,38.765,27.802,36.704,43.891,27.122,27.555,41.524,40.001,28.556,21.794,38.321,43.350,47.348,38.160,36.926,42.350,50.819,33.910,42.512,35.560,30.427,29.577,38.844,34.025,13.685,21.665,25.965,16.878,12.202,19.838,13.465,19.795,10.168,17.953,22.357,14.320,14.300,25.298,23.427,13.433,7.696,18.544,34.114,23.914,16.225,19.407,25.347,24.501,12.787,19.775,19.948,13.449,14.443,13.997,12.517
Bahrain,BH,AS,26.0667,50.5577,4.833,1.388,4.368,1.481,6.224,5.114,4.222,3.593,3.824,7.820,3.709,8.583,6.175,3.594,3.822,5.611,2.228,2.621,5.085,1.629,1.776,2.452,9.887,3.483,4.207,2.397,8.716,4.629,4.367,5.365,6.716,5.022,7.605,4.338,3.090,13.066,13.628,7.386,6.008,6.525,12.180,13.785,31.747,14.319,6.934,8.500,6.315,8.278,3.226,2.872,3.950,3.596,4.787,15.373,12.121,12.914,4.617,29.973,12.072,17.466,17.009,29.425
Belgium,BE,EU,50.503887,4.469936,6.248,10.371,9.719,11.175,9.188,18.905,7.925,18.559,6.686,9.735,12.388,16.159,9.973,13.987,9.876,9.239,16.183,12.093,23.646,15.760,6.486,19.811,13.267,10.750,13.720,15.622,7.206,8.039,6.331,6.652,9.141,1.976,5.126,3.485,9.027,3.348,13.717,6.236,7.146,2.207,2.929,4.411,8.196,4.825,6.222,3.659,5.522,7.174,11.144,12.051,6.848,2.822,6.423,4.097,3.781,6.310,10.057,2.525,1.742,2.195,1.384,2.742
Brazil,BR,SA,-14.235004,-51.92528,28.970,32.006,42.374,24.876,40.372,28.349,49.360,27.418,43.130,32.990,45.452,29.431,30.641,47.084,71.331,25.112,32.670,42.554,61.542,31.863,29.902,26.387,27.346,19.890,30.085,46.345,28.494,23.712,43.568,30.061,40.432,71.441,28.055,50.010,22.171,41.087,21.696,62.016,23.145,64.892,33.384,41.250,31.667,34.915,44.644,62.631,17.493,19.368,28.335,51.383,54.490,25.743,21.352,29.552,20.369,25.450,55.273,30.563,23.424,37.030,30.525,52.081
Bulgaria,BG,EU,42.733883,25.48583,9.868,10.208,8.839,10.888,11.532,11.884,11.034,5.468,9.366,13.301,9.657,7.586,10.690,13.928,18.819,9.907,9.005,19.505,10.411,10.161,15.588,14.656,16.451,28.346,13.955,25.709,21.904,25.898,26.752,17.837,10.283,6.234,10.576,5.829,14.192,6.370,5.168,6.626,7.366,7.246,8.228,4.730,4.797,2.950,5.001,7.223,6.600,2.226,8.116,11.143,5.981,6.412,4.209,7.738,12.482,3.655,9.817,8.403,22.015,9.045,9.362,5.553
Canada,CA,NA,56.130366,-106.346771,51.385,96.073,136.585,83.482,67.332,98.848,106.639,76.780,75.048,108.010,109.544,61.765,51.562,82.935,93.219,64.982,51.243,99.087,120.196,71.705,46.802,110.102,127.662,99.795,70.994,132.661,117.283,81.011,73.828,116.696,141.197,27.706,68.657,77.069,61.708,44.030,67.690,80.844,52.035,50.440,71.091,70.263,45.326,32.179,51.174,63.786,50.598,40.604,52.444,68.053,47.243,31.786,62.813,83.306,64.603,38.395,96.720,75.947,66.704,46.821,64.145,84.550
Chile,CL,SA,-35.675147,-71.542969,1.276,1.433,3.932,3.465,4.533,1.447,0.770,2.430,4.439,2.853,5.586,5.423,5.279,3.897,13.718,2.268,1.387,1.885,9.769,2.558,7.774,7.179,12.773,1.720,7.596,3.004,7.350,2.611,4.317,9.836,5.636,1.433,1.063,4.129,7.064,2.191,2.027,1.551,3.243,4.576,2.357,3.345,8.060,2.560,1.235,9.248,1.901,1.989,0.737,5.014,2.774,5.239,5.869,11.425,1.306,3.310,4.330,5.486,3.267,1.142,8.185,2.058
China,CN,AS,35.86166,104.195397,12.391,13.530,25.837,17.225,13.104,15.929,38.576,17.985,13.451,16.730,47.492,17.080,13.517,22.666,29.568,11.127,19.338,22.477,68.869,27.544,21.343,22.856,74.249,30.534,33.325,39.895,92.290,36.771,45.763,39.523,109.809,18.179,14.087,30.803,17.374,14.634,25.051,62.984,25.129,14.940,45.848,84.653,41.469,22.980,41.078,46.593,21.921,39.934,54.488,125.787,53.908,48.264,37.513,82.193,43.367,49.386,61.162,147.528,59.063,57.703,58.077,152.746
