type,date,AF,AS,EUR,NA,OC,SA,Total
Visits,01/01/2011,50.42979699,236.3816813,1617.09452,326.7117476,81.33264178,32.72541233,2344.6758
Visits,01/04/2011,62.94506501,292.0609479,1802.531008,520.1997055,124.4618059,50.56432599,2852.762859
Visits,01/07/2011,76.17846584,427.2025715,1742.142605,679.0317772,250.4710679,61.62050098,3236.646988
Visits,01/10/2011,61.42242006,269.3246778,1903.904826,436.3288815,108.7093628,33.42709717,2813.117266
Visits,01/01/2012,59.8114292,256.8003055,1615.384425,352.7607616,77.62440655,59.21482209,2421.59615
Visits,01/04/2012,67.042118,320.2952883,1843.91323,567.0099583,121.9487321,42.48039579,2962.689722
Visits,01/07/2012,89.78469506,404.707079,1642.527034,590.8366942,175.6964577,65.28021748,2968.832178
Visits,01/10/2012,59.02007705,312.225297,1966.770941,406.6376463,128.715082,37.08245599,2910.451499
Visits,01/01/2013,63.06127459,265.4346781,1585.905512,372.3683684,72.43684197,57.9759548,2417.182629
Visits,01/04/2013,70.74813315,344.1032237,2039.844566,569.2316554,152.1636649,55.72111189,3231.812355
Visits,01/07/2013,100.1646891,499.1031152,1956.744471,675.9711226,243.7433287,66.38931131,3542.116038
Visits,01/10/2013,74.01202893,402.1291441,2043.933524,410.8989102,110.5588055,42.56029603,3084.092709
Visits,01/01/2014,47.5646461,307.1368246,1731.070291,325.2466281,78.47731499,44.6772829,2534.172988
Visits,01/04/2014,59.09747374,380.4647894,2212.674081,612.1457129,127.2448866,76.84090626,3468.46785
Visits,01/07/2014,85.5659737,529.5494062,2077.506387,631.4899428,223.3117274,103.2981526,3650.72159
Visits,01/10/2014,63.49330909,320.3275336,2189.32053,405.9655657,94.17647427,37.69918943,3110.982602
Visits,01/01/2015,51.10573194,310.3896696,1825.768038,327.6212915,75.29322021,51.10845983,2641.286411
Visits,01/04/2015,69.21934196,397.6620695,2447.366533,614.9765774,123.7107982,61.23356214,3714.168883
Visits,01/07/2015,86.2739459,595.6673839,2159.614139,699.4441096,227.4374359,99.50290424,3867.939919
Visits,01/10/2015,70.77181357,400.9179366,2388.347023,466.878618,127.5758196,46.72106167,3501.212272
Visits,01/01/2016,50.16978481,324.1179223,2046.212775,375.6814017,73.59956866,45.98600152,2915.767454
Visits,01/04/2016,44.61052421,376.6034491,2511.480158,622.5570043,130.327563,48.43415585,3734.012854
Visits,01/07/2016,76.98912296,674.4286766,2116.136913,731.3552246,234.0292,60.03866881,3892.977806
Visits,01/10/2016,48.3101171,402.124462,2728.26736,591.5190129,92.14579016,39.07857376,3901.445316
Visits,01/01/2017,51.1418483,438.3526472,2288.433734,501.0266266,103.5686051,54.41668031,3436.940142
Visits,01/04/2017,65.16568494,504.1085459,2568.419205,816.0201823,156.1692651,65.35559895,4175.238482
